"cldtot_avg.permutation.importance",16.3428
"frwlt_avg.permutation.importance",29.8393
"grn_avg.permutation.importance",11.4178
"hflux_avg.permutation.importance",16.3119
"qv2m_avg.permutation.importance",17.9617
"swgnt_avg.permutation.importance",8.1264
"evpsoil_avg.permutation.importance",4.8245
"evptrns_avg.permutation.importance",27.2726
"frwlt_avg.permutation.importance",14.4356
"hflux_avg.permutation.importance",2.459
"prevtot_avg.permutation.importance",18.0518
"qv2m_avg.permutation.importance",3.4135
"swgnt_avg.permutation.importance",5.0076
"tsurf_avg.permutation.importance",24.5355
"evpsoil_avg.permutation.importance",33.3617
"evptrns_avg.permutation.importance",13.9596
"frwlt_avg.permutation.importance",23.1327
"hflux_avg.permutation.importance",13.2778
"prevtot_avg.permutation.importance",4.6251
"swgnt_avg.permutation.importance",4.9725
"tsurf_avg.permutation.importance",6.6705
"cldtot_avg.permutation.importance",24.7094
"frwlt_avg.permutation.importance",12.4175
"hflux_avg.permutation.importance",3.5399
"lai_avg.permutation.importance",34.8242
"qv2m_avg.permutation.importance",23.8652
"swgnt_avg.permutation.importance",0.6438
"frwlt_avg.permutation.importance",11.2046
"hflux_avg.permutation.importance",53.9089
"lai_avg.permutation.importance",11.8765
"qv2m_avg.permutation.importance",0
"swgnt_avg.permutation.importance",0
"tsurf_avg.permutation.importance",23.0099
"frwlt_avg.permutation.importance",20.0876
"hflux_avg.permutation.importance",41.6396
"lai_avg.permutation.importance",18.1614
"qv2m_avg.permutation.importance",1.4372
"swgnt_avg.permutation.importance",1.9381
"t2m_avg.permutation.importance",16.7361
"cldtot_avg.permutation.importance",20.4177
"hflux_avg.permutation.importance",19.5273
"lai_avg.permutation.importance",14.3202
"qinfil_avg.permutation.importance",14.7885
"qv2m_avg.permutation.importance",14.4989
"swgnt_avg.permutation.importance",9.8204
"tsat_avg.permutation.importance",6.6271
"cldtot_avg.permutation.importance",7.6477
"hflux_avg.permutation.importance",33.2376
"lai_avg.permutation.importance",18.6356
"qinfil_avg.permutation.importance",34.9943
"swgnt_avg.permutation.importance",5.3211
"t2m_avg.permutation.importance",0.1637
