"","rm","fc","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","1","L","rm.1_fc.L",0.695524747474747,NA,0.0561496359093937,0.0439665077213979,0.681775578947368,0.059950063686796,NA,NA,0.110526315789474,0.0816849905008882,0.01,0.0223606797749979,2127.02445283173,66.028561981967,4.56984364357298e-15,6
"2","2","L","rm.2_fc.L",0.694263131313131,NA,0.0540804779313791,0.0422662369795492,0.682533710526316,0.0576913693797642,NA,NA,0.110526315789474,0.0816849905008882,0.01,0.0223606797749979,2127.30784434212,66.3119534923621,3.96609996573917e-15,6
"3","3","L","rm.3_fc.L",0.69304696969697,NA,0.0526672643237841,0.0399660354487074,0.682315210526316,0.0554615505718462,NA,NA,0.110526315789474,0.0816849905008882,0.01,0.0223606797749979,2125.43169835923,64.4358075094719,1.01335958626633e-14,5
"4","1","Q","rm.1_fc.Q",0.734519696969697,NA,0.053901353431046,0.045779984075265,0.71865147368421,0.0569677703044222,NA,NA,0.131052631578947,0.125206201115536,0.01,0.0223606797749979,2106.89477498829,45.8988841385258,1.07400263272555e-10,6
"5","2","Q","rm.2_fc.Q",0.735121212121212,NA,0.054584369586942,0.0462992829058321,0.718492315789474,0.0570390628210632,NA,NA,0.121052631578947,0.134918155143248,0.01,0.0223606797749979,2107.41700804109,46.4211171913344,8.27187340822191e-11,6
"6","3","Q","rm.3_fc.Q",0.735736868686869,NA,0.0547774736842105,0.0470252569861552,0.71835947368421,0.0570832352961749,NA,NA,0.131052631578947,0.134820594857699,0.01,0.0223606797749979,2108.15203265693,47.1561418071733,5.72789848025023e-11,6
"7","1","LQ","rm.1_fc.LQ",0.811111616161616,NA,0.0517382791472352,0.0379635582456129,0.789677684210526,0.0512090440588989,NA,NA,0.110526315789474,0.147215616267875,0.02,0.0447213595499958,2060.99589084976,0,0.994996147921644,10
"8","2","LQ","rm.2_fc.LQ",0.798207575757576,NA,0.0499174736842105,0.0371249735984702,0.78113747368421,0.0522193068264133,NA,NA,0.100526315789474,0.116985450240049,0.01,0.0223606797749979,2071.73915909585,10.7432682460922,0.00462328153847032,8
"9","3","LQ","rm.3_fc.LQ",0.794528787878788,NA,0.0530778407728181,0.0376052567642862,0.77297547368421,0.057360663321488,NA,NA,0.121052631578947,0.114903910234846,0.01,0.0223606797749979,2076.73353734446,15.7376464947015,0.000380570292469218,7
